0    [main] WARN  com.commsen.stopwatch.Stopwatch  - Properties file stopwatch-engine.properties not found on classpath! Properties not set!
6340 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - blue: 51 (winner)
61087 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - green: 8 (loser)
61087 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - Run: 93 [Tank: green] [Team: 1] [Points: 8] [Status: loser] [Kills: 3] [Deaths: 4] [Missiles Fired: 28] [Energy Used:300]
74971 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - blue: 40 (loser)
74971 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - Run: 92 [Tank: blue] [Team: 0] [Points: 40] [Status: loser] [Kills: 5] [Deaths: 6] [Missiles Fired: 75] [Energy Used:880]
74971 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - purple: 51 (winner)
74972 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - Run: 92 [Tank: purple] [Team: 1] [Points: 51] [Status: winner] [Kills: 9] [Deaths: 5] [Missiles Fired: 43] [Energy Used:620]
74972 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - yellow: -22 (loser)
74972 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - Run: 92 [Tank: yellow] [Team: 0] [Points: -22] [Status: loser] [Kills: 0] [Deaths: 4] [Missiles Fired: 3] [Energy Used:240]
74972 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - green: 36 (loser)
74972 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - Run: 92 [Tank: green] [Team: 1] [Points: 36] [Status: loser] [Kills: 5] [Deaths: 3] [Missiles Fired: 40] [Energy Used:640]
79819 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - blue: 52 (winner)
79819 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - Run: 91 [Tank: blue] [Team: 0] [Points: 52] [Status: winner] [Kills: 5] [Deaths: 0] [Missiles Fired: 29] [Energy Used:180]
79820 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - purple: 7 (loser)
79820 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - Run: 91 [Tank: purple] [Team: 1] [Points: 7] [Status: loser] [Kills: 1] [Deaths: 2] [Missiles Fired: 14] [Energy Used:220]
79820 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - yellow: -7 (loser)
79820 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - Run: 91 [Tank: yellow] [Team: 0] [Points: -7] [Status: loser] [Kills: 1] [Deaths: 2] [Missiles Fired: 1] [Energy Used:0]
79821 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - green: -11 (loser)
79821 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - Run: 91 [Tank: green] [Team: 1] [Points: -11] [Status: loser] [Kills: 0] [Deaths: 3] [Missiles Fired: 2] [Energy Used:0]
90681 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - blue: 50 (winner)
90681 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - Run: 90 [Tank: blue] [Team: 0] [Points: 50] [Status: winner] [Kills: 6] [Deaths: 4] [Missiles Fired: 51] [Energy Used:500]
90681 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - purple: 16 (loser)
90681 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - Run: 90 [Tank: purple] [Team: 1] [Points: 16] [Status: loser] [Kills: 3] [Deaths: 2] [Missiles Fired: 31] [Energy Used:280]
90681 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - yellow: -22 (loser)
90681 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - Run: 90 [Tank: yellow] [Team: 0] [Points: -22] [Status: loser] [Kills: 0] [Deaths: 4] [Missiles Fired: 0] [Energy Used:60]
90681 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - green: 25 (loser)
90681 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - Run: 90 [Tank: green] [Team: 1] [Points: 25] [Status: loser] [Kills: 4] [Deaths: 3] [Missiles Fired: 28] [Energy Used:280]
101384 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - blue: 50 (winner)
101384 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - Run: 89 [Tank: blue] [Team: 0] [Points: 50] [Status: winner] [Kills: 6] [Deaths: 3] [Missiles Fired: 43] [Energy Used:460]
101384 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - purple: 21 (loser)
101384 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - Run: 89 [Tank: purple] [Team: 1] [Points: 21] [Status: loser] [Kills: 2] [Deaths: 1] [Missiles Fired: 23] [Energy Used:280]
101384 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - yellow: -24 (loser)
101384 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - Run: 89 [Tank: yellow] [Team: 0] [Points: -24] [Status: loser] [Kills: 1] [Deaths: 6] [Missiles Fired: 0] [Energy Used:0]
101384 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - green: 19 (loser)
101385 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - Run: 89 [Tank: green] [Team: 1] [Points: 19] [Status: loser] [Kills: 4] [Deaths: 3] [Missiles Fired: 11] [Energy Used:160]
112514 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - blue: 50 (winner)
112515 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - Run: 88 [Tank: blue] [Team: 0] [Points: 50] [Status: winner] [Kills: 6] [Deaths: 2] [Missiles Fired: 40] [Energy Used:20]
112515 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - purple: 7 (loser)
112515 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - Run: 88 [Tank: purple] [Team: 1] [Points: 7] [Status: loser] [Kills: 1] [Deaths: 0] [Missiles Fired: 5] [Energy Used:60]
112515 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - yellow: 2 (loser)
112515 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - Run: 88 [Tank: yellow] [Team: 0] [Points: 2] [Status: loser] [Kills: 1] [Deaths: 1] [Missiles Fired: 3] [Energy Used:260]
112515 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - green: -22 (loser)
112515 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - Run: 88 [Tank: green] [Team: 1] [Points: -22] [Status: loser] [Kills: 1] [Deaths: 5] [Missiles Fired: 3] [Energy Used:140]
119711 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - blue: 50 (winner)
119711 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - Run: 87 [Tank: blue] [Team: 0] [Points: 50] [Status: winner] [Kills: 6] [Deaths: 0] [Missiles Fired: 30] [Energy Used:80]
119711 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - purple: -5 (loser)
119711 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - Run: 87 [Tank: purple] [Team: 1] [Points: -5] [Status: loser] [Kills: 0] [Deaths: 1] [Missiles Fired: 1] [Energy Used:0]
119711 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - yellow: -21 (loser)
119711 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - Run: 87 [Tank: yellow] [Team: 0] [Points: -21] [Status: loser] [Kills: 0] [Deaths: 5] [Missiles Fired: 2] [Energy Used:80]
119711 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - green: 6 (loser)
119711 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - Run: 87 [Tank: green] [Team: 1] [Points: 6] [Status: loser] [Kills: 1] [Deaths: 1] [Missiles Fired: 13] [Energy Used:0]
129981 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - blue: 54 (winner)
129981 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - Run: 86 [Tank: blue] [Team: 0] [Points: 54] [Status: winner] [Kills: 6] [Deaths: 0] [Missiles Fired: 30] [Energy Used:60]
129982 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - purple: 3 (loser)
129982 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - Run: 86 [Tank: purple] [Team: 1] [Points: 3] [Status: loser] [Kills: 1] [Deaths: 2] [Missiles Fired: 7] [Energy Used:80]
129982 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - yellow: -32 (loser)
129982 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - Run: 86 [Tank: yellow] [Team: 0] [Points: -32] [Status: loser] [Kills: 0] [Deaths: 6] [Missiles Fired: 1] [Energy Used:80]
129982 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - green: 14 (loser)
129982 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - Run: 86 [Tank: green] [Team: 1] [Points: 14] [Status: loser] [Kills: 2] [Deaths: 1] [Missiles Fired: 11] [Energy Used:0]
143208 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - blue: 50 (winner)
143209 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - Run: 85 [Tank: blue] [Team: 0] [Points: 50] [Status: winner] [Kills: 5] [Deaths: 2] [Missiles Fired: 51] [Energy Used:260]
143209 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - purple: 14 (loser)
143209 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - Run: 85 [Tank: purple] [Team: 1] [Points: 14] [Status: loser] [Kills: 3] [Deaths: 3] [Missiles Fired: 24] [Energy Used:440]
143209 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - yellow: -25 (loser)
143209 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - Run: 85 [Tank: yellow] [Team: 0] [Points: -25] [Status: loser] [Kills: 0] [Deaths: 5] [Missiles Fired: 2] [Energy Used:340]
143209 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - green: 18 (loser)
143210 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - Run: 85 [Tank: green] [Team: 1] [Points: 18] [Status: loser] [Kills: 2] [Deaths: 0] [Missiles Fired: 14] [Energy Used:40]
155469 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - blue: 54 (winner)
155469 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - Run: 84 [Tank: blue] [Team: 0] [Points: 54] [Status: winner] [Kills: 6] [Deaths: 2] [Missiles Fired: 48] [Energy Used:560]
155469 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - purple: -1 (loser)
155469 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - Run: 84 [Tank: purple] [Team: 1] [Points: -1] [Status: loser] [Kills: 1] [Deaths: 1] [Missiles Fired: 6] [Energy Used:100]
155469 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - yellow: -20 (loser)
155469 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - Run: 84 [Tank: yellow] [Team: 0] [Points: -20] [Status: loser] [Kills: 0] [Deaths: 4] [Missiles Fired: 0] [Energy Used:120]
155470 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - green: 21 (loser)
155470 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - Run: 84 [Tank: green] [Team: 1] [Points: 21] [Status: loser] [Kills: 4] [Deaths: 4] [Missiles Fired: 35] [Energy Used:420]
169501 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - blue: 50 (winner)
169501 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - Run: 83 [Tank: blue] [Team: 0] [Points: 50] [Status: winner] [Kills: 6] [Deaths: 3] [Missiles Fired: 38] [Energy Used:620]
169501 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - purple: 23 (loser)
169502 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - Run: 83 [Tank: purple] [Team: 1] [Points: 23] [Status: loser] [Kills: 2] [Deaths: 1] [Missiles Fired: 18] [Energy Used:60]
169502 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - yellow: -26 (loser)
169502 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - Run: 83 [Tank: yellow] [Team: 0] [Points: -26] [Status: loser] [Kills: 2] [Deaths: 6] [Missiles Fired: 3] [Energy Used:220]
169502 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - green: 23 (loser)
169502 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - Run: 83 [Tank: green] [Team: 1] [Points: 23] [Status: loser] [Kills: 4] [Deaths: 2] [Missiles Fired: 33] [Energy Used:360]
181564 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - blue: 50 (winner)
181564 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - Run: 82 [Tank: blue] [Team: 0] [Points: 50] [Status: winner] [Kills: 6] [Deaths: 2] [Missiles Fired: 44] [Energy Used:180]
181565 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - purple: 6 (loser)
181565 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - Run: 82 [Tank: purple] [Team: 1] [Points: 6] [Status: loser] [Kills: 2] [Deaths: 1] [Missiles Fired: 17] [Energy Used:340]
181565 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - yellow: -32 (loser)
181565 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - Run: 82 [Tank: yellow] [Team: 0] [Points: -32] [Status: loser] [Kills: 0] [Deaths: 7] [Missiles Fired: 0] [Energy Used:120]
181565 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - green: 24 (loser)
181565 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - Run: 82 [Tank: green] [Team: 1] [Points: 24] [Status: loser] [Kills: 3] [Deaths: 1] [Missiles Fired: 17] [Energy Used:20]
195294 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - blue: 51 (winner)
195294 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - Run: 81 [Tank: blue] [Team: 0] [Points: 51] [Status: winner] [Kills: 7] [Deaths: 4] [Missiles Fired: 50] [Energy Used:260]
195294 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - purple: 27 (loser)
195294 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - Run: 81 [Tank: purple] [Team: 1] [Points: 27] [Status: loser] [Kills: 5] [Deaths: 3] [Missiles Fired: 21] [Energy Used:120]
195294 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - yellow: -31 (loser)
195294 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - Run: 81 [Tank: yellow] [Team: 0] [Points: -31] [Status: loser] [Kills: 1] [Deaths: 8] [Missiles Fired: 1] [Energy Used:180]
195298 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - green: 15 (loser)
195299 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - Run: 81 [Tank: green] [Team: 1] [Points: 15] [Status: loser] [Kills: 3] [Deaths: 1] [Missiles Fired: 16] [Energy Used:140]
215917 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - blue: 51 (winner)
215917 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - Run: 80 [Tank: blue] [Team: 0] [Points: 51] [Status: winner] [Kills: 5] [Deaths: 2] [Missiles Fired: 47] [Energy Used:520]
215917 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - purple: 28 (loser)
215917 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - Run: 80 [Tank: purple] [Team: 1] [Points: 28] [Status: loser] [Kills: 5] [Deaths: 1] [Missiles Fired: 17] [Energy Used:180]
215917 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - yellow: -27 (loser)
215917 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - Run: 80 [Tank: yellow] [Team: 0] [Points: -27] [Status: loser] [Kills: 1] [Deaths: 8] [Missiles Fired: 8] [Energy Used:200]
215917 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - green: 22 (loser)
215917 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - Run: 80 [Tank: green] [Team: 1] [Points: 22] [Status: loser] [Kills: 4] [Deaths: 3] [Missiles Fired: 29] [Energy Used:200]
228981 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - blue: 50 (winner)
228981 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - Run: 79 [Tank: blue] [Team: 0] [Points: 50] [Status: winner] [Kills: 4] [Deaths: 0] [Missiles Fired: 50] [Energy Used:300]
228981 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - purple: 7 (loser)
228981 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - Run: 79 [Tank: purple] [Team: 1] [Points: 7] [Status: loser] [Kills: 1] [Deaths: 1] [Missiles Fired: 17] [Energy Used:220]
228981 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - yellow: -19 (loser)
228981 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - Run: 79 [Tank: yellow] [Team: 0] [Points: -19] [Status: loser] [Kills: 0] [Deaths: 3] [Missiles Fired: 0] [Energy Used:300]
228982 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - green: -1 (loser)
228982 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - Run: 79 [Tank: green] [Team: 1] [Points: -1] [Status: loser] [Kills: 1] [Deaths: 2] [Missiles Fired: 4] [Energy Used:0]
