0    [main] WARN  com.commsen.stopwatch.Stopwatch  - Properties file stopwatch-engine.properties not found on classpath! Properties not set!
16064 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - blue: 14 (loser)
100391 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - Run: 95 [Tank: blue] [Team: 0] [Points: 41] [Status: loser] [Kills: 4] [Deaths: 1] [Missiles Fired: 24] [Energy Used:80]
100391 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - red: 52 (winner)
100391 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - Run: 95 [Tank: red] [Team: 1] [Points: 52] [Status: winner] [Kills: 10] [Deaths: 6] [Missiles Fired: 48] [Energy Used:120]
100392 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - yellow: -2 (loser)
100392 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - Run: 95 [Tank: yellow] [Team: 0] [Points: -2] [Status: loser] [Kills: 1] [Deaths: 4] [Missiles Fired: 30] [Energy Used:180]
100392 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - green: -12 (loser)
100392 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - Run: 95 [Tank: green] [Team: 1] [Points: -12] [Status: loser] [Kills: 3] [Deaths: 7] [Missiles Fired: 11] [Energy Used:500]
103381 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - blue: -17 (loser)
103381 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - Run: 94 [Tank: blue] [Team: 0] [Points: -17] [Status: loser] [Kills: 0] [Deaths: 4] [Missiles Fired: 3] [Energy Used:60]
103381 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - red: 53 (winner)
103381 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - Run: 94 [Tank: red] [Team: 1] [Points: 53] [Status: winner] [Kills: 7] [Deaths: 1] [Missiles Fired: 34] [Energy Used:220]
103381 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - yellow: 5 (loser)
103382 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - Run: 94 [Tank: yellow] [Team: 0] [Points: 5] [Status: loser] [Kills: 3] [Deaths: 5] [Missiles Fired: 19] [Energy Used:440]
103382 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - green: 19 (loser)
103382 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - Run: 94 [Tank: green] [Team: 1] [Points: 19] [Status: loser] [Kills: 2] [Deaths: 2] [Missiles Fired: 22] [Energy Used:100]
113278 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - blue: -2 (loser)
113278 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - Run: 93 [Tank: blue] [Team: 0] [Points: -2] [Status: loser] [Kills: 2] [Deaths: 6] [Missiles Fired: 19] [Energy Used:200]
113279 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - red: 18 (loser)
113279 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - Run: 93 [Tank: red] [Team: 1] [Points: 18] [Status: loser] [Kills: 5] [Deaths: 6] [Missiles Fired: 33] [Energy Used:160]
113279 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - yellow: 51 (winner)
113279 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - Run: 93 [Tank: yellow] [Team: 0] [Points: 51] [Status: winner] [Kills: 10] [Deaths: 5] [Missiles Fired: 45] [Energy Used:140]
113279 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - green: 16 (loser)
113279 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - Run: 93 [Tank: green] [Team: 1] [Points: 16] [Status: loser] [Kills: 4] [Deaths: 4] [Missiles Fired: 28] [Energy Used:200]
130812 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - blue: 22 (loser)
130813 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - Run: 92 [Tank: blue] [Team: 0] [Points: 22] [Status: loser] [Kills: 4] [Deaths: 5] [Missiles Fired: 33] [Energy Used:240]
130813 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - red: 52 (winner)
130813 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - Run: 92 [Tank: red] [Team: 1] [Points: 52] [Status: winner] [Kills: 8] [Deaths: 6] [Missiles Fired: 66] [Energy Used:220]
130813 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - yellow: 29 (loser)
130813 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - Run: 92 [Tank: yellow] [Team: 0] [Points: 29] [Status: loser] [Kills: 5] [Deaths: 5] [Missiles Fired: 58] [Energy Used:460]
130813 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - green: 10 (loser)
130813 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - Run: 92 [Tank: green] [Team: 1] [Points: 10] [Status: loser] [Kills: 4] [Deaths: 5] [Missiles Fired: 28] [Energy Used:300]
139269 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - blue: 1 (loser)
139269 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - Run: 91 [Tank: blue] [Team: 0] [Points: 1] [Status: loser] [Kills: 3] [Deaths: 7] [Missiles Fired: 27] [Energy Used:240]
139269 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - red: 51 (winner)
139269 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - Run: 91 [Tank: red] [Team: 1] [Points: 51] [Status: winner] [Kills: 8] [Deaths: 2] [Missiles Fired: 37] [Energy Used:280]
139270 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - yellow: 7 (loser)
139270 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - Run: 91 [Tank: yellow] [Team: 0] [Points: 7] [Status: loser] [Kills: 3] [Deaths: 5] [Missiles Fired: 33] [Energy Used:780]
139270 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - green: 23 (loser)
139270 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - Run: 91 [Tank: green] [Team: 1] [Points: 23] [Status: loser] [Kills: 5] [Deaths: 4] [Missiles Fired: 31] [Energy Used:220]
150848 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - blue: -4 (loser)
150848 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - Run: 90 [Tank: blue] [Team: 0] [Points: -4] [Status: loser] [Kills: 0] [Deaths: 2] [Missiles Fired: 5] [Energy Used:60]
150848 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - red: 9 (loser)
150848 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - Run: 90 [Tank: red] [Team: 1] [Points: 9] [Status: loser] [Kills: 3] [Deaths: 6] [Missiles Fired: 33] [Energy Used:480]
150848 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - yellow: 51 (winner)
150849 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - Run: 90 [Tank: yellow] [Team: 0] [Points: 51] [Status: winner] [Kills: 7] [Deaths: 2] [Missiles Fired: 47] [Energy Used:320]
150849 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - green: 15 (loser)
150849 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - Run: 90 [Tank: green] [Team: 1] [Points: 15] [Status: loser] [Kills: 4] [Deaths: 4] [Missiles Fired: 29] [Energy Used:200]
162110 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - blue: 18 (loser)
162110 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - Run: 89 [Tank: blue] [Team: 0] [Points: 18] [Status: loser] [Kills: 8] [Deaths: 7] [Missiles Fired: 16] [Energy Used:160]
162110 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - red: 32 (loser)
162110 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - Run: 89 [Tank: red] [Team: 1] [Points: 32] [Status: loser] [Kills: 5] [Deaths: 4] [Missiles Fired: 51] [Energy Used:300]
162110 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - yellow: 52 (winner)
162110 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - Run: 89 [Tank: yellow] [Team: 0] [Points: 52] [Status: winner] [Kills: 10] [Deaths: 5] [Missiles Fired: 26] [Energy Used:40]
162110 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - green: -14 (loser)
162110 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - Run: 89 [Tank: green] [Team: 1] [Points: -14] [Status: loser] [Kills: 5] [Deaths: 10] [Missiles Fired: 17] [Energy Used:280]
185400 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - blue: -3 (loser)
185400 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - Run: 88 [Tank: blue] [Team: 0] [Points: -3] [Status: loser] [Kills: 5] [Deaths: 11] [Missiles Fired: 35] [Energy Used:440]
185400 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - red: 36 (loser)
185400 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - Run: 88 [Tank: red] [Team: 1] [Points: 36] [Status: loser] [Kills: 6] [Deaths: 5] [Missiles Fired: 62] [Energy Used:640]
185400 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - yellow: 51 (winner)
185400 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - Run: 88 [Tank: yellow] [Team: 0] [Points: 51] [Status: winner] [Kills: 13] [Deaths: 10] [Missiles Fired: 58] [Energy Used:360]
185400 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - green: 41 (loser)
185400 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - Run: 88 [Tank: green] [Team: 1] [Points: 41] [Status: loser] [Kills: 8] [Deaths: 5] [Missiles Fired: 50] [Energy Used:80]
199948 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - blue: 7 (loser)
199949 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - Run: 87 [Tank: blue] [Team: 0] [Points: 7] [Status: loser] [Kills: 4] [Deaths: 6] [Missiles Fired: 22] [Energy Used:80]
199949 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - red: -2 (loser)
199949 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - Run: 87 [Tank: red] [Team: 1] [Points: -2] [Status: loser] [Kills: 2] [Deaths: 5] [Missiles Fired: 27] [Energy Used:200]
199949 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - yellow: 50 (winner)
199949 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - Run: 87 [Tank: yellow] [Team: 0] [Points: 50] [Status: winner] [Kills: 9] [Deaths: 6] [Missiles Fired: 61] [Energy Used:160]
199949 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - green: 47 (loser)
199949 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - Run: 87 [Tank: green] [Team: 1] [Points: 47] [Status: loser] [Kills: 8] [Deaths: 6] [Missiles Fired: 42] [Energy Used:100]
222302 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - blue: 34 (loser)
222303 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - Run: 86 [Tank: blue] [Team: 0] [Points: 34] [Status: loser] [Kills: 9] [Deaths: 10] [Missiles Fired: 52] [Energy Used:500]
222303 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - red: 47 (loser)
222303 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - Run: 86 [Tank: red] [Team: 1] [Points: 47] [Status: loser] [Kills: 9] [Deaths: 7] [Missiles Fired: 47] [Energy Used:320]
222303 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - yellow: 50 (winner)
222304 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - Run: 86 [Tank: yellow] [Team: 0] [Points: 50] [Status: winner] [Kills: 11] [Deaths: 8] [Missiles Fired: 58] [Energy Used:220]
222304 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - green: 14 (loser)
222304 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - Run: 86 [Tank: green] [Team: 1] [Points: 14] [Status: loser] [Kills: 5] [Deaths: 9] [Missiles Fired: 53] [Energy Used:420]
246763 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - blue: 40 (loser)
246763 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - Run: 85 [Tank: blue] [Team: 0] [Points: 40] [Status: loser] [Kills: 8] [Deaths: 7] [Missiles Fired: 45] [Energy Used:260]
246763 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - red: 50 (winner)
246763 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - Run: 85 [Tank: red] [Team: 1] [Points: 50] [Status: winner] [Kills: 9] [Deaths: 7] [Missiles Fired: 61] [Energy Used:320]
246763 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - yellow: 23 (loser)
246763 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - Run: 85 [Tank: yellow] [Team: 0] [Points: 23] [Status: loser] [Kills: 11] [Deaths: 14] [Missiles Fired: 65] [Energy Used:940]
246763 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - green: 45 (loser)
246763 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - Run: 85 [Tank: green] [Team: 1] [Points: 45] [Status: loser] [Kills: 8] [Deaths: 7] [Missiles Fired: 80] [Energy Used:460]
266601 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - blue: 36 (loser)
266602 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - Run: 84 [Tank: blue] [Team: 0] [Points: 36] [Status: loser] [Kills: 7] [Deaths: 6] [Missiles Fired: 36] [Energy Used:60]
266602 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - red: 13 (loser)
266602 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - Run: 84 [Tank: red] [Team: 1] [Points: 13] [Status: loser] [Kills: 7] [Deaths: 9] [Missiles Fired: 55] [Energy Used:300]
266602 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - yellow: 47 (loser)
266602 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - Run: 84 [Tank: yellow] [Team: 0] [Points: 47] [Status: loser] [Kills: 10] [Deaths: 9] [Missiles Fired: 49] [Energy Used:780]
266602 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - green: 50 (winner)
266602 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - Run: 84 [Tank: green] [Team: 1] [Points: 50] [Status: winner] [Kills: 9] [Deaths: 9] [Missiles Fired: 70] [Energy Used:600]
274854 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - blue: 12 (loser)
274854 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - Run: 83 [Tank: blue] [Team: 0] [Points: 12] [Status: loser] [Kills: 4] [Deaths: 4] [Missiles Fired: 18] [Energy Used:480]
274854 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - red: -3 (loser)
274854 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - Run: 83 [Tank: red] [Team: 1] [Points: -3] [Status: loser] [Kills: 1] [Deaths: 4] [Missiles Fired: 17] [Energy Used:260]
274854 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - yellow: 54 (winner)
274854 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - Run: 83 [Tank: yellow] [Team: 0] [Points: 54] [Status: winner] [Kills: 9] [Deaths: 5] [Missiles Fired: 51] [Energy Used:280]
274854 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - green: 8 (loser)
274854 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - Run: 83 [Tank: green] [Team: 1] [Points: 8] [Status: loser] [Kills: 1] [Deaths: 2] [Missiles Fired: 23] [Energy Used:200]
279922 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - blue: -10 (loser)
279922 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - Run: 82 [Tank: blue] [Team: 0] [Points: -10] [Status: loser] [Kills: 1] [Deaths: 4] [Missiles Fired: 8] [Energy Used:240]
279922 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - red: 59 (winner)
279922 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - Run: 82 [Tank: red] [Team: 1] [Points: 59] [Status: winner] [Kills: 8] [Deaths: 2] [Missiles Fired: 42] [Energy Used:100]
279922 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - yellow: 3 (loser)
279922 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - Run: 82 [Tank: yellow] [Team: 0] [Points: 3] [Status: loser] [Kills: 3] [Deaths: 5] [Missiles Fired: 23] [Energy Used:240]
279922 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - green: 1 (loser)
279922 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - Run: 82 [Tank: green] [Team: 1] [Points: 1] [Status: loser] [Kills: 1] [Deaths: 2] [Missiles Fired: 8] [Energy Used:80]
294177 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - blue: 13 (loser)
294177 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - Run: 81 [Tank: blue] [Team: 0] [Points: 13] [Status: loser] [Kills: 5] [Deaths: 5] [Missiles Fired: 22] [Energy Used:20]
294178 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - red: 11 (loser)
294178 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - Run: 81 [Tank: red] [Team: 1] [Points: 11] [Status: loser] [Kills: 3] [Deaths: 3] [Missiles Fired: 18] [Energy Used:180]
294178 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - yellow: -5 (loser)
294178 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - Run: 81 [Tank: yellow] [Team: 0] [Points: -5] [Status: loser] [Kills: 3] [Deaths: 5] [Missiles Fired: 22] [Energy Used:240]
294181 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - green: 53 (winner)
294182 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - Run: 81 [Tank: green] [Team: 1] [Points: 53] [Status: winner] [Kills: 9] [Deaths: 7] [Missiles Fired: 46] [Energy Used:120]
313049 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - blue: 37 (loser)
313049 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - Run: 80 [Tank: blue] [Team: 0] [Points: 37] [Status: loser] [Kills: 6] [Deaths: 4] [Missiles Fired: 33] [Energy Used:340]
313049 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - red: 50 (winner)
313049 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - Run: 80 [Tank: red] [Team: 1] [Points: 50] [Status: winner] [Kills: 8] [Deaths: 5] [Missiles Fired: 47] [Energy Used:340]
313049 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - yellow: 28 (loser)
313049 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - Run: 80 [Tank: yellow] [Team: 0] [Points: 28] [Status: loser] [Kills: 8] [Deaths: 8] [Missiles Fired: 43] [Energy Used:340]
313049 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - green: 6 (loser)
313049 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - Run: 80 [Tank: green] [Team: 1] [Points: 6] [Status: loser] [Kills: 5] [Deaths: 10] [Missiles Fired: 52] [Energy Used:540]
328173 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - blue: 13 (loser)
328174 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - Run: 79 [Tank: blue] [Team: 0] [Points: 13] [Status: loser] [Kills: 3] [Deaths: 5] [Missiles Fired: 37] [Energy Used:260]
328174 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - red: 22 (loser)
328174 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - Run: 79 [Tank: red] [Team: 1] [Points: 22] [Status: loser] [Kills: 4] [Deaths: 4] [Missiles Fired: 34] [Energy Used:260]
328174 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - yellow: 50 (winner)
328174 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - Run: 79 [Tank: yellow] [Team: 0] [Points: 50] [Status: winner] [Kills: 8] [Deaths: 3] [Missiles Fired: 37] [Energy Used:260]
328174 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - green: 3 (loser)
328175 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - Run: 79 [Tank: green] [Team: 1] [Points: 3] [Status: loser] [Kills: 3] [Deaths: 6] [Missiles Fired: 23] [Energy Used:100]
343134 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - blue: 16 (loser)
